glycoform,Glycan_Mass
H4N5@AGnF(bi)__formyl,1837.661015
H9N2@Man9_formyl,1892.628915
H4N4X1F2@AGnXF2__formyl,1912.681815
H4N4S1F1@NaGnF_oder_NaMF(bi)_formyl,1925.677015
H5N4XF@AAXF__formyl,1928.676715
H5N4S1@NaA_oder_NaMan4(bi)_formyl,1941.671915
H5N5F1@AAF(bi)__formyl,1999.713815
H10N2@Man9+1xHex_formyl,2054.681715
H4N4S1X1F1@NaMXF__formyl,2057.719315
H5N4X1F2@AAXF2__formyl,2074.734615
H5N4S1F1@NaAF__formyl,2087.729815
H6N4S1@NaMan5(bi)_formyl,2103.724715
H4N5S1F1@NaGnF(bi)__formyl,2128.756415
H11N2@Man9+2xHex_formyl,2216.734515
H5N4S1X1F1@NaAXF__formyl,2219.772115
H5N4X1F3@AAXF3__formyl,2220.792515
H5N4S2@NaNa__formyl,2232.767315
H5N5S1F1@NaAF(bi)__formyl,2290.809215
H5N6F2@_formyl,2348.851115
H12N2@Man9+3xHex_formyl,2378.787315
H5N4S2F1@NaNaF__formyl,2378.825215
H5N4S2X1F1@NaNaXF__formyl,2510.867515
H13N2@Man9+4xHex_formyl,2540.840115
H5N5S2F1@NaNaF(bi)__formyl,2581.904615
5N 6H@AAA_formyl,2015.708715
5N 6H 1F@AAAF_formyl,2161.766615
5N 6H 1S@NaAA_formyl,2306.804115
5N 6H 1F 1S@NaAAF_formyl,2452.862015
5N 6H 2S@NaNaA_formyl,2597.899515
5N 6H 1F 2S@NaNaAF_formyl,2743.957415
5N 6H 3S@NaNaNa_formyl,2888.994915
5N 6H 1F 3S@NaNaNaF_formyl,3035.052815
6N 7H@AAAA_formyl,2380.840915
6N 7H 1F@AAAAF_formyl,2526.898815
6N 7H 1S@NaAAA_formyl,2671.936315
6N 7H 1F 1S@NaAAAF_formyl,2817.994215
6N 7H 2S@NaNaAA_formyl,2963.031715
6N 7H 1F 2S@NaNaAAF_formyl,3109.089615
6N 7H 3S@NaNaNaA_formyl,3254.127115
6N 7H 1F 3S@NaNaNaAF_formyl,3400.185015
6N 7H 4S@NaNaNaNa_formyl,3545.222515
6N 7H 1F 4S@NaNaNaNaF_formyl,3691.280415
7N 8H@AAAAA_formyl,2745.973115
7N 8H 1F@AAAAAF_formyl,2892.031015
7N 8H 1S@NaAAAA_formyl,3037.068515
7N 8H 1F 1S@NaAAAAF_formyl,3183.126415
7N 8H 2S@NaNaAAA_formyl,3328.163915
7N 8H 1F 2S@NaNaAAAF_formyl,3474.221815
7N 8H 3S@NaNaNaAA_formyl,3619.259315
7N 8H 1F 3S@NaNaNaAAF_formyl,3765.317215
7N 8H 4S@NaNaNaNaA_formyl,3910.354715
7N 8H 1F 4S@NaNaNaNaAF_formyl,4056.412615
8N 9H 3S@NaNaNaAAA_formyl,3984.391515
8N 9H 1F 3S@NaNaNaAAAF_formyl,4130.449415
8N 9H 4S@NaNaNaNaAA_formyl,4275.486915
8N 9H 1F 4S@NaNaNaNaAAF_formyl,4421.544815
H3N2F2@MMFF_formyl,1212.427915
H3N3F2@GnMFF_formyl,1415.507315
H3N4F2@GnGnFF_formyl,1618.586715
6N 3H 1F@GnGnGnGnF_formyl,1878.687615
6N 4H 1F@AGnGnGnF_formyl,2040.740415
6N 5H 1F@AAGnGnF_formyl,2202.793215
6N 5H 1F@AAAGnF_formyl,2364.846015
