monoiso	Mass_Da
Hex 	162.0528
HexNAc 	203.0794
dHex 	146.0579
Pent 	132.0423
NeuAc 	291.0954
NeuGc 	307.0903
KDN 	250.0689
HexA 	176.0321
Phosphorylation 	79.9663
Sulfation 	79.9568
